GDP,Population,Energy_consumption,per_capita_production,Energy_intensity_by_GDP,balance,energy_dependecy,use_intensity_pc,co2_pc,clusters,energy_type,continent_Africa,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America
529.216,28887.85,0.878,108.543,5.925,-0.081,0.002,0.0,0.001,0,2,0.0,0.0,0.0,0.0,0.0,1.0
529.216,28887.85,0.008,108.543,5.925,0.069,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1.0
558.989,29360.82,0.776,115.775,6.081,-0.003,0.001,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,1.0
558.989,29360.82,1.672,115.775,6.081,4.21,0.003,0.0,0.003,2,3,0.0,0.0,0.0,0.0,0.0,1.0
558.989,29360.82,0.943,115.775,6.081,-0.071,0.002,0.0,0.002,0,2,0.0,0.0,0.0,0.0,0.0,1.0
558.989,29360.82,0.008,115.775,6.081,0.048,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1.0
566.497,29781.08,0.793,108.049,5.68,-0.003,0.001,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,1.0
566.497,29781.08,1.509,108.049,5.68,4.357,0.003,0.0,0.004,2,3,0.0,0.0,0.0,0.0,0.0,1.0
566.497,29781.08,0.907,108.049,5.68,-0.07,0.002,0.0,0.002,0,2,0.0,0.0,0.0,0.0,0.0,1.0
566.497,29781.08,0.008,108.049,5.68,0.037,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1.0
544.436,30043.0,0.604,101.765,5.616,0.003,0.001,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,1.0
544.436,30043.0,1.536,101.765,5.616,4.331,0.003,0.0,0.003,2,3,0.0,0.0,0.0,0.0,0.0,1.0
544.436,30043.0,0.91,101.765,5.616,-0.071,0.002,0.0,0.002,0,2,0.0,0.0,0.0,0.0,0.0,1.0
544.436,30043.0,0.008,101.765,5.616,0.028,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1.0
510.564,30081.82,0.689,101.726,5.994,0.003,0.001,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,1.0
510.564,30081.82,1.348,101.726,5.994,4.348,0.003,0.0,0.003,2,3,0.0,0.0,0.0,0.0,0.0,1.0
510.564,30081.82,1.017,101.726,5.994,-0.019,0.002,0.0,0.002,0,2,0.0,0.0,0.0,0.0,0.0,1.0
510.564,30081.82,0.005,101.726,5.994,0.02,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1.0
423.564,29851.25,0.573,98.287,6.927,0.004,0.001,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,1.0
423.564,29851.25,1.41,98.287,6.927,3.755,0.003,0.0,0.003,2,3,0.0,0.0,0.0,0.0,0.0,1.0
423.564,29851.25,0.946,98.287,6.927,0.11,0.002,0.0,0.002,2,2,0.0,0.0,0.0,0.0,0.0,1.0
423.564,29851.25,0.005,98.287,6.927,0.018,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1.0
357.184,29402.48,0.549,97.628,8.037,0.003,0.002,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,1.0
357.184,29402.48,1.278,97.628,8.037,3.286,0.004,0.0,0.003,2,3,0.0,0.0,0.0,0.0,0.0,1.0
357.184,29402.48,1.04,97.628,8.037,0.0,0.003,0.0,0.002,2,2,0.0,0.0,0.0,0.0,0.0,1.0
357.184,29402.48,0.003,97.628,8.037,0.014,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1.0
287.1,28887.13,0.521,93.953,9.453,0.003,0.002,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0
287.1,28887.13,1.163,93.953,9.453,2.233,0.004,0.0,0.003,2,3,0.0,0.0,0.0,0.0,0.0,1.0
287.1,28887.13,1.028,93.953,9.453,0.0,0.004,0.0,0.002,2,2,0.0,0.0,0.0,0.0,0.0,1.0
287.1,28887.13,0.001,93.953,9.453,0.011,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1.0
190.147,28515.85,0.639,85.829,12.871,0.003,0.003,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,1.0
190.147,28515.85,0.936,85.829,12.871,1.09,0.005,0.0,0.003,2,3,0.0,0.0,0.0,0.0,0.0,1.0
190.147,28515.85,0.871,85.829,12.871,0.0,0.005,0.0,0.002,0,2,0.0,0.0,0.0,0.0,0.0,1.0
190.147,28515.85,0.001,85.829,12.871,0.011,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1.0
51.728,38650.2,0.05,41.455,0.0,-0.025,0.001,0.0,0.0,1,4,1.0,0.0,0.0,0.0,0.0,0.0
2642.627,38650.2,0.058,41.455,0.0,0.0,0.0,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0
2642.627,38650.2,1.25,41.455,0.0,2.346,0.0,0.0,0.0,3,3,1.0,0.0,0.0,0.0,0.0,0.0
2642.627,38650.2,0.245,41.455,0.0,0.019,0.0,0.0,0.0,1,2,1.0,0.0,0.0,0.0,0.0,0.0
53.68,40199.9,0.042,37.185,0.0,-0.017,0.001,0.0,0.0,1,4,1.0,0.0,0.0,0.0,0.0,0.0
2754.923,40199.9,0.064,37.185,0.0,0.0,0.0,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0
2754.923,40199.9,1.225,37.185,0.0,1.755,0.0,0.0,0.002,2,3,1.0,0.0,0.0,0.0,0.0,0.0
2754.923,40199.9,0.164,37.185,0.0,0.058,0.0,0.0,0.0,0,2,1.0,0.0,0.0,0.0,0.0,0.0
2846.733,41869.2,0.067,41.275,0.0,0.0,0.0,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0
2846.733,41869.2,1.394,41.275,0.0,3.378,0.0,0.0,0.002,2,3,1.0,0.0,0.0,0.0,0.0,0.0
2846.733,41869.2,0.211,41.275,0.0,0.053,0.0,0.0,0.0,0,2,1.0,0.0,0.0,0.0,0.0,0.0
2846.733,41869.2,0.056,41.275,0.0,-0.028,0.0,0.0,0.0,1,4,1.0,0.0,0.0,0.0,0.0,0.0
486.922,43636.8,0.065,48.194,0.0,0.0,0.0,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0
486.922,43636.8,1.658,48.194,0.0,3.598,0.003,0.0,0.002,2,3,1.0,0.0,0.0,0.0,0.0,0.0
486.922,43636.8,0.327,48.194,0.0,0.0,0.001,0.0,0.0,0,2,1.0,0.0,0.0,0.0,0.0,0.0
486.922,43636.8,0.053,48.194,0.0,-0.024,0.0,0.0,0.0,1,4,1.0,0.0,0.0,0.0,0.0,0.0
56.171,45472.8,0.503,49.026,0.0,0.0,0.009,0.0,0.0,0,2,1.0,0.0,0.0,0.0,0.0,0.0
